ID,Word,SER
190,arrange,1.82
191,array,2.27
192,arrest,3.36
193,arrive,2.27
194,arrow,3.36
195,arson,4.00
196,art,4.09
197,artist,3.00
198,arts,3.40
199,as,1.25
200,ascend,2.55
201,aside,1.80
202,ask,2.00
203,asleep,3.27
204,aspect,1.82
205,aspen,3.36
206,asphalt,4.30
207,aspire,2.30
208,ass,3.27
209,assault,4.90
210,assert,2.20
211,assess,2.90
212,asset,2.09
213,assign,1.90
214,assist,2.10
215,assume,1.50
216,assure,1.90
217,asthma,3.00
218,astral,1.80
219,astray,1.70
220,astute,1.64
221,at,1.00
222,ate,3.27
223,athlete,4.20
224,atlas,4.40
225,atom,2.70
226,atone,2.55
227,attach,2.18
228,attack,4.27
229,attain,2.20
230,attempt,2.18
231,attend,2.00
232,attic,4.80
233,attire,2.91
234,attract,2.60
235,auction,3.36
236,audit,2.20
237,aunt,3.00
238,aura,3.50
239,author,2.00
240,auto,2.36
241,autumn,6.00
242,avail,1.64
243,avenge,2.45
244,avert,2.09
245,avoid,2.60
246,await,2.18
247,awake,4.50
248,award,3.91
249,aware,2.45
250,away,1.90
251,awe,3.36
252,awesome,3.18
253,awful,3.00
254,awhile,1.80
255,awkward,3.64
256,awoke,4.40
257,awry,1.60
258,ax,2.82
259,axe,4.18
260,axis,2.45
261,axle,2.18
262,babble,3.20
263,babe,2.75
264,baboon,3.36
265,baby,5.40
266,back,2.50
267,backward,2.45
268,bacon,5.82
269,badge,2.00
270,bag,1.45
271,bagel,5.00
272,baggage,3.60
273,bail,2.27
274,bailiff,1.45
275,bait,1.91
276,bake,4.25
277,balance,2.73
278,bald,2.75
279,bale,2.36
280,balk,2.18
281,ball,3.27
282,ballad,3.45
283,ballast,1.45
284,ballet,3.40
285,balloon,5.45
286,ballot,2.73
287,balm,2.45
288,bamboo,4.09
289,ban,2.91
290,band,1.73
291,bandage,4.27
292,bandit,1.82
293,bane,1.10
294,bang,3.55
295,banish,2.30
296,banjo,4.36
297,bank,2.92
298,bankrupt,2.10
299,banner,4.09
300,banquet,4.00
301,banshee,4.50
302,banter,3.36
303,baptize,4.20
304,barb,2.30
305,barber,4.36
306,bare,3.70
307,barely,1.45
308,bargain,3.00
309,barge,2.60
310,bark,4.64
311,barley,3.40
312,barn,3.30
313,barrage,2.82
314,barrel,2.80
315,barren,3.45
316,barter,2.00
317,base,2.09
318,baseball,4.90
319,basement,4.50
320,bash,2.67
321,bashful,3.70
322,basic,2.30
323,basil,5.30
324,basin,2.90
325,basis,1.64
326,bask,2.09
327,basket,2.55
328,bass,2.64
329,bastard,3.09
330,baste,2.50
331,bat,3.40
332,batch,3.10
333,bathe,3.64
334,bathroom,3.64
335,baton,3.00
336,battle,4.36
337,batty,2.27
338,bawl,3.10
339,bay,2.64
340,bayou,3.64
341,bazaar,3.60
342,be,1.91
343,beach,3.60
344,beacon,4.20
345,bead,1.45
346,beam,4.80
347,beanie,3.00
348,bear,3.82
349,beard,4.55
350,beast,4.36
351,beat,2.75
352,beatnik,2.36
353,beau,2.42
354,beauty,5.18
355,beaver,4.18
356,because,1.36
357,beck,1.18
358,become,2.27
359,bed,4.09
360,bedlam,2.40
361,bedroom,4.50
362,bee,4.27
363,beech,1.00
364,beef,3.67
365,been,1.09
366,beer,3.58
367,beet,3.00
368,beetle,3.00
369,befall,1.73
370,before,1.30
371,beg,2.50
372,beggar,3.40
373,begin,2.00
374,behalf,2.00
375,behave,1.70
376,behind,2.91
377,behold,2.73
378,beige,2.73
379,being,3.70
380,belch,2.55
381,belief,1.90
382,believe,2.40
383,bell,3.91
384,belle,4.27
385,belly,3.55
386,belong,2.60
387,below,2.80
388,belt,4.27
389,bench,2.40
390,bend,3.64
391,beneath,2.18
392,benign,3.22
393,bent,3.45
394,bequeath,1.30
395,beret,2.73
396,berserk,2.73
397,berth,1.70
398,beseech,1.80
399,beside,1.73
400,best,2.00
401,bestow,1.50
402,bet,2.10
403,betray,2.91
404,better,2.18
405,between,2.82
406,beware,3.67
407,beyond,2.60
408,bias,1.90
409,bib,1.82
410,bible,3.10
411,bid,1.80
412,bide,1.50
413,big,2.20
414,bigot,2.60
415,bike,3.00
416,bile,2.40
417,bilge,1.83
418,bill,3.00
419,bimbo,3.60
420,bin,1.82
421,bind,2.18
422,binge,2.50
423,bingo,4.30
424,birch,2.18
425,bird,3.60
426,birthday,5.60
427,biscuit,3.91
428,bistro,2.91
429,bit,2.40
430,bitch,2.45
431,bite,3.30
432,bitter,5.20
433,bizarre,4.00
434,blab,2.91
435,black,3.91
436,bladder,4.18
437,blade,3.40
438,blah,2.30
439,blame,2.64
440,blanch,2.27
441,bland,3.00
442,blank,2.40
443,blanket,5.18
444,blare,3.82
445,blast,4.10
446,blatant,2.09
447,blaze,4.60
448,blazer,3.20
449,bleach,3.60
450,bleak,2.70
451,bleat,3.50
452,bled,4.40
453,bleed,4.60
454,blemish,4.27
455,blend,3.10
456,bless,3.55
457,blew,3.00
458,blight,2.30
459,blimp,3.33
460,blind,3.33
461,blinds,2.60
462,blink,4.25
463,bliss,3.09
464,blister,4.91
465,blithe,2.18
466,blitz,3.20
467,blizzard,5.60
468,bloat,4.09
469,blob,2.91
470,block,2.58
471,blockade,3.82
472,bloke,2.33
473,blonde,4.45
474,blood,4.30
475,bloom,3.20
476,blossom,4.20
477,blot,2.36
478,blotch,3.00
479,blouse,3.18
480,blow,3.27
481,blown,3.55
482,blubber,3.36
483,blue,3.36
484,bluff,1.91
485,blunt,4.36
486,blur,4.09
487,blurt,2.91
488,blush,3.82
489,boa,4.18
490,boar,2.73
491,board,2.64
492,boast,2.09
493,boat,3.09
494,bob,2.17
495,bode,1.36
496,body,4.30
497,bog,2.92
498,bogus,3.00
499,boil,3.09
500,bold,2.30
501,bolt,3.27
502,bomb,3.00
503,bona,1.00
504,bond,2.36
505,bondage,4.27
506,bone,3.36
507,bonfire,5.20
508,bonnet,2.30
509,bonsai,4.60
510,bonus,2.73
511,boogie,3.64
512,book,3.40
513,bookie,2.36
514,boom,3.36
515,boon,1.20
516,boost,2.10
517,boot,2.90
518,booth,1.80
519,booze,4.64
520,border,2.40
521,bore,2.75
522,bored,2.18
523,boring,2.70
524,borne,1.64
525,borough,3.20
526,borrow,1.73
527,bosh,1.55
528,bosom,4.09
529,boss,1.60
530,botch,1.45
531,both,1.50
532,bother,2.36
533,bottle,2.27
534,bottom,2.60
535,bough,2.00
536,bought,1.40
537,boulder,4.30
538,bounce,3.60
539,bound,2.09
540,bounty,2.60
541,bouquet,3.36
542,bourbon,4.55
543,bout,1.50
544,boutique,2.50
545,bowel,2.64
546,bowl,3.82
547,boxer,3.64
548,boy,4.18
549,boycott,3.36
550,bozo,2.45
551,bra,3.10
552,brace,2.36
553,bracelet,3.45
554,bracket,2.70
555,brag,2.18
556,braid,2.55
557,braise,2.70
558,bran,3.10
559,branch,2.60
560,brand,2.00
561,brandy,3.91
562,brash,2.00
563,brass,3.00
564,brassiere,4.40
565,brat,2.55
566,brave,2.09
567,brawl,2.82
568,braze,2.09
569,breach,2.36
570,bread,3.20
571,breadth,1.50
572,break,3.08
573,breakfast,5.70
574,breast,3.75
575,breath,3.70
576,breathe,4.36
577,bred,1.73
578,breech,2.45
579,breed,2.10
580,breeze,4.55
581,brew,2.18
582,bribe,2.92
583,brick,2.60
584,bridge,1.95
585,brief,2.10
586,brig,1.36
587,brigade,3.60
588,bright,5.09
589,brim,1.50
590,bring,1.20
591,brink,2.18
592,brisk,3.45
593,brisket,5.00
594,brittle,3.91
595,broach,2.73
596,broad,1.60
597,brochure,3.00
598,broil,2.40
599,broke,3.27
600,broker,2.73
601,bronze,3.45
602,brooch,1.64
603,brood,2.00
604,brook,3.18
605,broom,2.36
606,broth,3.80
607,brothel,3.18
608,brother,5.00
609,brought,1.18
610,brow,2.50
611,browse,1.60
612,bruise,5.10
613,brunch,2.64
614,brunette,4.70
615,brunt,1.64
616,brush,2.45
617,brutal,3.60
618,brute,2.55
619,bubble,3.00
620,buck,2.40
621,bucket,2.64
622,buckle,2.73
623,bud,2.92
624,buddy,3.36
625,budge,2.30
626,budget,2.27
627,buff,2.18
628,buffer,2.40
629,buffet,4.30
630,buffoon,2.90
631,bug,2.90
632,buggy,2.80
633,bugle,2.73
634,build,2.45
635,building,3.45
636,built,1.64
637,bulb,1.91
638,bulge,3.55
639,bulk,1.90
640,bull,3.10
641,bullet,5.10
642,bully,3.90
643,bum,3.82
644,bummer,2.90
645,bump,3.30
646,bun,3.58
647,bunch,2.58
648,bundle,2.40
649,bungee,5.30
650,bunion,3.90
651,bunk,2.00
652,bunker,3.10
653,bunt,3.20
654,buoy,3.27
655,burden,2.80
656,bureau,2.55
657,burger,4.20
658,burglar,4.40
659,burl,1.91
660,burlesque,3.27
661,burn,4.91
662,burp,4.73
663,burr,2.82
664,burro,2.09
665,burrow,2.73
666,burst,3.20
667,bus,3.80
668,bush,2.73
669,bushel,2.73
670,business,2.20
671,buss,2.00
672,bust,2.45
673,bustle,3.40
674,busy,2.20
675,but,1.27
676,butch,1.80
677,butcher,4.27
678,butler,3.18
679,butt,3.55
680,butter,5.10
681,button,3.60
682,buy,2.36
683,buzz,4.64
684,buzzard,3.82
685,by,1.50
686,bye,2.30
687,bypass,2.27
688,cab,2.80
689,cabbage,3.18
690,cabin,3.36
691,cable,2.30
692,caboose,3.70
693,cache,1.45
694,cactus,4.00
695,caddie,2.73
696,caddy,3.30
697,cadet,2.27
698,cafe,4.27
699,caffeine,5.30
700,cage,2.55
701,calf,3.10
702,call,2.64
703,callous,3.73
704,calm,3.60
705,calve,2.90
706,cam,1.27
707,came,3.00
708,camel,5.00
709,camp,2.50
710,campaign,2.64
711,campus,4.36
712,can,2.40
713,canal,2.45
714,cancel,1.91
715,cancer,4.20
716,candid,2.40
717,candle,4.20
718,candor,1.73
719,candy,5.80
720,cane,2.50
721,canine,4.64
722,cannon,3.27
723,cannot,1.82
724,canoe,3.20
725,canon,4.90
726,canteen,4.50
727,canvas,3.09
728,canvass,2.30
729,cap,1.50
730,cape,4.00
731,caper,1.80
732,capsule,3.70
733,captain,3.10
734,captive,3.00
735,capture,3.00
736,car,3.00
737,carbon,2.80
738,carcass,5.10
739,card,3.27
740,care,2.64
741,career,2.27
742,caress,5.20
743,cargo,3.30
744,carnage,4.40
745,carnal,2.89
746,carol,3.50
747,carp,2.08
748,carpet,4.67
749,carriage,3.50
750,carrot,4.00
751,carry,3.45
752,cart,2.18
753,cartel,2.00
754,carton,4.30
755,cartoon,4.10
756,cartridge,3.18
757,carve,2.36
758,cascade,3.64
759,case,1.80
760,cash,3.55
761,cashier,3.20
762,cashmere,4.33
763,cask,1.30
764,casket,4.27
765,cassette,3.55
766,cast,1.70
767,caste,2.27
768,castle,4.55
769,castrate,3.36
770,cat,2.60
771,catch,3.18
772,cattle,5.60
773,caught,2.40
774,caulk,2.00
775,cause,2.08
776,caution,3.00
777,cautious,2.70
778,cave,3.10
779,cavern,4.40
780,cayenne,3.82
781,cease,1.90
782,cedar,4.55
783,ceiling,3.60
784,celeste,1.45
785,cell,1.40
786,cellar,3.45
787,cello,5.20
788,cement,3.80
789,censor,2.45
790,census,2.50
791,cent,2.08
792,center,3.18
793,central,2.91
794,certain,1.70
795,chafe,3.90
796,chaff,2.60
797,chain,2.82
798,chaise,1.50
799,chalice,2.27
800,chalk,4.60
801,challenge,3.00
802,chamber,2.27
803,champ,2.90
804,chance,1.83
805,change,2.18
806,channel,3.00
807,chant,3.00
808,chap,1.45
809,chapel,3.82
810,chaplain,3.09
811,chapter,2.70
812,char,2.10
813,charade,1.73
814,charcoal,3.64
815,chard,2.36
816,charge,2.64
817,charm,2.30
818,chart,2.00
819,charter,1.91
820,chartreuse,1.89
821,chase,2.55
822,chasm,2.50
823,chassis,2.00
824,chaste,2.08
825,chat,2.40
826,chateau,2.70
827,chauffeur,3.18
828,cheap,1.40
829,cheat,2.58
830,check,2.83
831,cheddar,4.30
832,cheek,2.30
833,cheep,2.50
834,cheer,4.09
835,cheese,3.36
836,cheetah,4.60
837,chef,3.82
838,cherish,2.70
839,cherry,5.10
840,cherub,1.91
841,chest,3.42
842,chew,3.82
843,chic,1.82
844,chick,3.60
845,chicken,4.36
846,chide,1.91
847,chief,2.75
848,child,3.00
849,children,5.09
850,chili,4.36
851,chill,3.40
852,chilli,4.09
853,chime,4.00
854,chimney,4.40
855,chimp,2.80
856,chin,3.30
857,chip,4.00
858,chirp,3.20
859,chisel,3.09
860,chive,2.00
861,chlorine,5.45
862,chock,1.50
863,choice,1.00
864,choir,4.45
865,choke,4.45
866,choose,1.73
867,chop,3.70
868,chord,2.00
869,chore,2.18
870,chorus,4.90
871,chose,2.17
872,chow,2.20
873,christmas,5.40
874,chrome,2.40
875,chronic,3.90
876,chuck,2.67
877,chuckle,3.73
878,chug,4.18
879,chum,1.91
880,chump,2.00
881,chunk,2.83
882,church,2.50
883,churn,2.55
884,chute,1.64
885,cider,4.91
886,cigar,5.00
887,cinch,2.64
888,cinder,3.09
889,cipher,2.73
890,circa,1.60
891,circle,3.80
892,circuit,2.36
893,circus,4.09
894,cite,1.27
895,city,4.20
896,civic,2.27
897,civil,2.90
898,clack,2.45
899,clad,1.40
900,claim,1.30
901,clam,2.91
902,clamp,3.20
903,clan,1.90
904,clang,4.50
905,clank,2.50
906,clap,4.92
907,clash,4.00
908,clasp,2.64
909,class,1.91
910,classic,3.64
911,clatter,3.64
912,clause,1.70
913,claw,3.82
914,clay,2.55
915,clean,3.09
916,cleanse,2.73
917,clear,3.55
918,clearance,3.10
919,cleat,3.50
920,cleavage,5.45
921,cleave,2.27
922,clef,1.20
923,cleft,3.73
924,clench,3.91
925,clergy,2.27
926,cleric,1.82
927,clerk,1.80
928,clever,2.60
929,cliche,3.00
930,click,4.09
931,client,3.40
932,cliff,5.00
933,climate,4.45
934,climax,3.90
935,climb,2.20
936,clinch,2.40
937,cling,2.45
938,clingy,3.27
939,clinic,4.00
940,clink,3.50
941,clip,3.00
942,clique,2.27
943,cloak,2.40
944,clock,3.42
945,clod,2.27
946,clog,2.90
947,clone,2.75
948,clop,1.70
949,close,2.82
950,closet,3.55
951,closure,3.10
952,clot,3.00
953,cloth,2.50
954,clothe,3.73
955,clothes,3.67
956,clout,1.80
957,clove,2.09
958,clover,3.27
959,clown,3.50
960,club,4.18
961,cluck,3.00
962,clue,1.90
963,clump,2.30
964,clumsy,3.60
965,clung,2.10
966,cluster,3.00
967,clutter,3.64
968,coach,2.33
969,coal,3.73
970,coarse,3.40
971,coast,4.00
972,coaster,4.00
973,coat,2.90
974,coax,2.64
975,cob,1.36
976,cobalt,3.30
977,cobbler,2.91
978,cobra,4.30
979,cocaine,4.80
980,cock,3.10
981,cocktail,4.73
982,cocky,2.91
983,cocoa,4.70
984,cocoon,3.60
985,cod,2.67
986,code,2.30
987,coed,4.36
988,coffee,5.18
989,coffin,4.70
990,coin,2.50
991,coke,2.73
992,cola,5.20
993,cold,3.91
994,collage,3.90
995,collapse,3.80
996,collar,4.00
997,collect,2.00
998,college,4.80
999,collide,4.50
1000,cologne,5.50
1001,colon,3.00
1002,color,4.20
1003,colt,3.36
1004,column,2.60
1005,coma,3.45
1006,comb,3.08
1007,combat,4.09
1008,combine,2.80
1009,come,2.82
1010,comet,5.20
1011,comfort,3.55
1012,comic,2.73
1013,coming,2.40
1014,comma,3.80
1015,command,2.30
1016,commence,2.18
1017,commend,2.30
1018,comment,1.80
1019,commerce,2.00
1020,commit,3.00
1021,common,2.70
1022,commune,3.10
1023,commute,2.73
1024,compact,2.70
1025,compare,1.73
1026,compass,3.82
1027,compel,1.80
1028,compete,3.40
1029,compile,2.18
1030,complain,3.82
1031,complaint,2.36
1032,complete,1.80
1033,complex,2.20
1034,comply,1.91
1035,compose,2.00
1036,compost,3.73
1037,compound,2.20
1038,compress,3.80
1039,compute,2.45
1040,con,1.27
1041,conceal,2.50
1042,concede,2.09
1043,conceive,3.36
1044,concept,2.50
1045,concern,3.10
1046,concert,4.90
1047,conclude,1.70
1048,concrete,3.91
1049,concur,1.60
1050,condemn,3.20
1051,condo,3.73
1052,condom,5.27
1053,condone,2.22
1054,condor,3.20
1055,conduct,3.30
1056,cone,2.09
1057,confer,1.70
1058,confess,2.55
1059,confide,2.80
1060,confine,3.00
1061,confirm,1.80
1062,conflict,2.70
1063,conform,1.64
1064,confound,2.09
1065,confront,3.60
1066,confuse,2.73
1067,conga,3.60
1068,congress,2.45
1069,conjure,2.27
1070,conk,3.00
1071,connect,2.60
1072,conquer,4.00
1073,conquest,3.60
1074,conscience,3.50
1075,consent,2.18
1076,conserve,2.00
1077,console,3.40
1078,consort,1.91
1079,conspire,2.00
1080,constant,2.50
1081,construct,2.55
1082,consul,1.73
1083,consult,1.73
1084,consume,3.82
1085,contact,3.90
1086,contain,2.30
1087,contempt,3.00
1088,contend,2.36
1089,content,2.55
1090,contest,3.00
1091,context,1.80
1092,contract,2.36
1093,contraire,2.45
1094,contrast,4.00
1095,control,3.20
1096,convene,1.80
1097,convent,1.82
1098,converge,3.30
1099,converse,3.27
1100,convert,2.27
1101,convey,2.00
1102,convict,3.45
1103,convince,2.36
1104,convoy,2.20
1105,cook,3.10
1106,cookie,5.09
1107,cool,3.10
1108,coolant,2.70
1109,coon,2.20
1110,coop,2.45
1111,coot,1.45
1112,cop,3.64
1113,cope,2.18
1114,copper,3.36
1115,copy,2.45
1116,coral,4.09
1117,cord,1.90
1118,cordial,2.91
1119,cordon,2.00
1120,core,2.30
1121,cork,4.10
1122,corn,3.45
1123,corps,1.80
1124,corpse,4.10
1125,corpus,2.27
1126,corral,3.50
1127,correct,1.90
1128,corrupt,3.20
1129,corsage,3.60
1130,corset,4.50
1131,cortex,2.82
1132,cosmic,3.70
1133,cosmos,3.60
1134,cost,2.45
1135,costume,3.73
1136,cosy,5.00
1137,cottage,3.90
1138,cotton,3.91
1139,couch,3.73
1140,cougar,4.50
1141,cough,4.82
1142,could,1.17
1143,council,2.00
1144,counsel,1.91
1145,count,2.55
1146,countess,3.50
1147,country,3.27
1148,county,3.00
1149,coup,1.55
1150,couple,4.45
1151,coupon,2.73
1152,courage,3.10
1153,course,2.33
1154,court,2.36
1155,cousin,3.73
1156,cove,1.91
1157,coven,2.40
1158,cover,2.80
1159,covert,2.00
1160,covet,2.80
1161,cow,4.27
1162,coward,3.00
1163,coy,1.82
1164,cozy,5.90
1165,crab,2.50
1166,crack,4.18
1167,crackle,5.00
1168,cradle,3.90
1169,craft,1.90
1170,cram,3.36
1171,cramp,4.10
1172,crank,3.00
1173,craps,1.60
1174,crash,4.55
1175,crate,2.30
1176,crater,3.27
1177,crave,3.18
1178,crawl,2.70
1179,craze,3.08
1180,crazy,3.36
1181,cream,3.42
1182,crease,3.55
1183,create,3.36
1184,creature,4.20
1185,credit,2.55
1186,credo,2.18
1187,creed,1.45
1188,creek,3.09
1189,crepe,2.82
1190,crept,3.18
1191,crescent,3.09
1192,crest,1.18
1193,cretin,2.00
1194,crew,2.30
1195,crib,3.73
1196,crick,2.67
1197,cricket,4.30
1198,crime,2.27
1199,crimson,5.40
1200,cringe,3.80
1201,cripple,3.90
1202,crisis,3.09
1203,crisp,3.33
1204,critic,2.64
1205,critter,3.10
1206,croak,2.60
1207,crock,1.60
1208,crook,1.90
1209,crooked,2.09
1210,croon,3.27
1211,crop,2.40
1212,croquet,3.64
1213,crotch,3.45
1214,crouch,2.82
1215,crow,3.33
1216,crowd,4.18
1217,crown,2.70
1218,crucial,1.90
1219,crude,1.73
1220,cruise,3.91
1221,crumb,4.55
1222,crumble,3.73
1223,crunch,3.90
1224,crusade,3.36
1225,crush,3.90
1226,crust,2.80
1227,crutch,3.80
1228,cry,3.91
1229,crypt,2.30
1230,cryptic,2.82
1231,crystal,4.70
1232,cub,2.27
1233,cube,2.75
1234,cubic,2.90
1235,cuckoo,3.60
1236,cud,1.90
1237,cuddle,5.30
1238,cue,3.00
1239,cuff,2.82
1240,cuisine,3.82
1241,culprit,2.55
1242,cult,2.00
1243,culture,2.45
1244,cunning,2.73
1245,cup,2.10
1246,curb,3.20
1247,curd,2.58
1248,cure,2.50
1249,curfew,2.44
1250,current,2.55
1251,curry,5.30
1252,curse,3.09
1253,curt,1.20
1254,curtain,3.64
1255,curtsy,3.18
1256,curve,3.40
1257,cushion,4.00
1258,cusp,2.00
1259,custard,4.40
1260,custom,2.30
1261,cut,3.08
1262,cute,3.73
1263,cycle,2.64
1264,cynic,2.73
1265,cyst,2.80
1266,czar,1.82
1267,dab,2.70
1268,dabble,2.82
1269,dad,4.00
1270,daddy,4.80
1271,daft,2.00
1272,dagger,3.73
1273,dainty,3.00
1274,dairy,4.00
1275,daisy,3.56
1276,dale,1.55
1277,dam,2.58
1278,damage,3.91
1279,dame,2.17
1280,damn,1.73
1281,damp,2.50
1282,damsel,4.40
1283,dandruff,4.89
1284,dandy,2.10
1285,danger,3.40
1286,dangle,3.60
1287,dank,2.36
1288,dapper,3.20
1289,dare,1.73
1290,dark,3.73
1291,darling,4.18
1292,darn,1.45
1293,dart,3.55
1294,dash,2.00
1295,data,2.73
1296,date,3.73
1297,daughter,3.10
1298,daunt,1.70
1299,dawdle,2.10
1300,day,2.60
1301,days,2.09
1302,daze,3.00
1303,dazzle,4.60
1304,deacon,2.27
1305,dead,3.80
1306,deadline,2.70
1307,deaf,2.73
1308,deal,2.64
1309,dealer,3.20
1310,dealt,1.73
1311,dean,1.70
1312,dear,2.33
1313,dearth,1.55
1314,death,3.80
1315,debate,2.40
1316,debris,3.50
1317,debt,2.00
1318,debut,1.55
1319,decade,2.00
1320,decaf,2.36
1321,decay,3.91
1322,deceit,2.55
1323,deceive,2.73
1324,decent,1.82
1325,decide,2.10
1326,deck,3.36
1327,declare,2.27
1328,decline,3.00
1329,decor,3.80
1330,decoy,2.36
1331,decrease,1.73
1332,decree,2.73
1333,deduce,1.73
1334,deduct,1.91
1335,deed,2.42
1336,deem,1.60
1337,deep,3.10
1338,default,1.70
1339,defeat,3.45
1340,defect,2.18
1341,defence,2.80
1342,defend,2.45
1343,defense,2.91
1344,defer,1.91
1345,define,2.18
1346,deflect,2.90
1347,defuse,2.91
1348,defy,3.55
1349,degrade,2.91
1350,degree,2.45
1351,delay,2.09
1352,delete,3.20
1353,delight,3.60
1354,dell,1.60
1355,deluxe,2.50
1356,demand,2.91
1357,demise,2.36
1358,demon,3.80
1359,den,2.00
1360,denim,3.82
1361,denounce,2.64
1362,dense,3.90
1363,dental,4.27
1364,dentist,4.80
1365,depart,3.64
1366,depict,2.50
1367,deploy,2.80
1368,deport,2.00
1369,depot,1.64
1370,depress,4.09
1371,deprive,2.60
1372,depth,1.73
1373,derby,2.73
1374,derive,1.40
1375,descend,3.20
1376,descent,3.00
1377,describe,2.00
1378,desert,4.70
1379,deserve,1.73
1380,design,2.80
1381,desire,4.73
1382,desist,1.90
1383,desk,2.67
1384,despair,3.10
1385,despise,2.73
1386,despite,1.70
1387,dessert,5.00
1388,destroy,3.60
1389,destruct,4.73
1390,detach,2.60
1391,detail,1.90
1392,detain,2.10
1393,detect,2.00
1394,detest,2.55
1395,detour,2.90
1396,detox,2.30
1397,deuce,1.75
1398,device,2.45
1399,devil,4.55
1400,devise,1.80
1401,devoid,2.09
1402,devote,2.91
1403,devour,4.18
1404,devout,3.36
1405,dew,3.58
1406,diaper,4.18
1407,dice,1.82
1408,dictate,2.18
1409,did,1.30
1410,die,4.27
1411,diesel,3.50
1412,diet,4.73
1413,differ,1.64
1414,diffuse,2.36
1415,dig,3.00
1416,digest,3.90
1417,digit,3.30
1418,dike,3.00
1419,dildo,4.60
1420,dill,3.00
1421,dim,2.09
1422,dime,1.80
1423,din,1.64
1424,dine,2.10
1425,diner,4.64
1426,dinghy,3.55
1427,dinky,2.10
1428,dinner,5.27
1429,dip,3.64
1430,dire,1.82
1431,direct,2.00
1432,dirge,2.00
1433,dirt,2.10
1434,dirty,5.09
1435,discard,2.30
1436,disclose,1.80
1437,disco,5.40
1438,discord,1.60
1439,discount,1.70
1440,discreet,2.40
1441,discuss,2.36
1442,disdain,2.36
1443,disease,5.40
1444,disgrace,2.90
1445,disgust,4.27
1446,dish,3.55
1447,dismal,3.36
1448,dismiss,2.30
1449,dispatch,2.90
1450,dispense,2.20
1451,disperse,3.40
1452,display,2.40
1453,dispose,2.30
1454,dispute,2.80
1455,disrupt,3.00
1456,dissect,5.00
1457,dissent,2.20
1458,dissolve,3.73
1459,dissuade,2.09
1460,distant,3.10
1461,distinct,2.30
1462,distract,3.00
1463,distress,4.18
1464,district,2.82
1465,disturb,2.91
1466,ditch,2.42
1467,ditto,2.09
1468,ditty,2.55
